id,projectId,label,icon,sortOrder
216a73f1-ec7f-4d77-ad9f-3c073acde5f8,20e1a7ff-2d5a-4bb7-b658-2b0c95a02d42,Car-Free Green Plaza,🌳,0
21b8583a-37dc-4df3-b070-44effa30aa3b,a44c5240-3c6f-4c6a-96ee-8ac62af3511e,Mini Theatre & Gaming Lounge,🎮,0
221b2a46-69aa-49fa-abe2-1aced27effc3,9f1e5e3d-18bb-450b-bd00-8c0406ff8d2c,Panoramic Aravalli Views,⛰️,1
228c0ceb-9da7-4e95-9b8f-230de27b93ad,ef4d244d-fb32-42d7-a4be-0f515c4ed2c8,Recreational & Meditation Areas,🧘,0
22bd79e6-f933-4290-ad99-1f6a9fc33f52,8b6a09f7-9696-4811-ad43-bad1dea5f324,3 to 4 Car Parking,🚘,0
240fe34c-5191-4da2-8ee3-bbf81c2efb15,a9fb2cee-4190-4f2f-9940-8be2199e38e3,NCR's 1st Zone 5 building,🌳,0
254952d7-0a38-4a5a-aded-cb6aaba4c13d,3fed7102-bc0c-4fe5-a6b4-b30868757223,Rooftop Sky Lounge,🌌,0
257d3de9-382f-49a8-8a6d-aa30e5eb6073,0442a99c-6f74-4f69-b564-e0ed491e52ac,High Footfall Catchment Area,📈,3
266e0811-d811-413e-9cf1-46752c8b9781,2a2c45d5-0f68-459c-a286-0509b7bb6073,Panoramic Aravalli Views,🌄,0
26af11ea-2118-4a8b-a499-e35677e3d9aa,c4348b89-26f3-4e74-9253-4a68bd32df22,"Concierge, Valet & Fine Dining",🍽️,0
29d15f77-2944-49c8-ac82-aed95f78b050,d9401432-af8d-41fc-8230-594a70cc2a98,Open-to-sky courtyards,🏙️,0
29f62359-4a30-4bb1-96ed-8e26f58f32d0,a44c5240-3c6f-4c6a-96ee-8ac62af3511e,Smart Home Automation,📱,0
2a433dd5-72c8-4eda-8cb8-eb9addb757ca,a3af1f05-e6bb-4a25-a7be-1f9115867304,Spread over 7.6 acres of land,🌳,0
2a5be606-616a-4df2-a621-941f6946ca47,a9fb2cee-4190-4f2f-9940-8be2199e38e3,12 Lifts per Tower,🛗,0
2b70a723-e631-4a60-8f07-460c356d66f1,7c97e410-c9ab-43a3-bd32-65a83a08fd8b,Dense Residential Catchment,🏙️,0
2b910a75-6a45-4bdd-93e0-8a80490f65ba,20e1a7ff-2d5a-4bb7-b658-2b0c95a02d42,1 Lakh Sq.Ft. Amenities,🏢,0
2bb9b803-e27f-44dc-8cd0-d8ab1b69a447,d2afb735-8465-414a-924f-a7226ea3319a,1.75 Lakh Sq.Ft Amenity Zone,🏋,0
2bfbb185-70ec-4239-af9b-942df9cd3496,0442a99c-6f74-4f69-b564-e0ed491e52ac,Prime Golf Course Ext. Road Location,📍,0
2c041968-7e4b-4aec-bc65-f0e98a07abc4,982ed68a-ba24-4226-b101-01e7f90de70a,Basement + GF + 4 Floors,🏢,0
2c0e23b0-e0d0-46c5-896f-968c61c4bf23,b78f7b94-2629-4566-b8a8-a14b578d3434,Central Lake & Water Bodies,🏞️,0
2c15fde9-de9b-4175-bee2-ff00dce93893,9301a8cc-a2ab-4828-98a8-455229bd4beb,Multiplex & Entertainment Zone,🎥,0
2d399ea6-7445-47e7-8aff-0d70189b432b,f9b16292-de07-471d-9d9c-d9f92bd44692,Observatory Deck with Panoramic Views,🔭,0
2f06acad-d4d2-4ce8-8036-d8383e1b21fc,b78f7b94-2629-4566-b8a8-a14b578d3434,Clubhouse 101+ Amenities,🏛️,0
30c63243-2a7a-45da-b821-c89394fd1b78,d9401432-af8d-41fc-8230-594a70cc2a98,4-Acre Development with Dual-Side Access,🏗️,0
30caa2d5-2dd4-409e-b290-4fbf6970c39f,ae24318b-3030-428a-94f6-c9c93e7789f6,Zen & Yoga Garden,🧘,0
314948d2-75e5-4fca-aa2b-956f6021d42d,ef4d244d-fb32-42d7-a4be-0f515c4ed2c8,3-Sided Open Apartments,🌄,0
328b1eb3-530d-4a88-a1c6-915ccf59d421,06e0aa61-ef5c-4892-beec-a5a1df6ec52c,Air Purifier-Equipped Luxury Homes,🌀,0
336f88a1-0c40-4685-9dd2-df22b54e3bf9,ae24318b-3030-428a-94f6-c9c93e7789f6,World-Class Clubhouse,🏛️,0
365c4346-f698-4f86-b990-3d2d7fc0e594,491d8e64-e144-40cd-bf4b-0273fc49acf7,Spectacular Golf Course Views,⛳,0
375212ec-3183-4e6f-a118-dc9003dd98c6,986e025d-5bf1-4c5d-90b9-2c5bda59d34a,State-of-the-art infrastructure,,0
378131c2-6d91-4975-9886-296459f710c0,165ef67e-ef7b-4dde-9a9b-817a92875500,Multi-Cuisine Restaurants,🍽️,0
37b1ffca-3eec-45f9-8210-50fa5538a328,c9b9ee68-248e-48fb-ae77-1b082109a89c,Triple-Height Entrance Lobby,🏛️,0
38a91415-7875-4cd8-bbda-a8f76887ba71,12ae60bb-6415-427c-86ad-adcb52eb5a8f,70% Open Green Area,🌳,0
396165a5-b7a2-4955-b8ca-f8762be85592,7a117c0f-16eb-4536-a0a6-028271a06f3b,VRV Air Conditioning,🌬️,0
39d70bd5-cacd-4d2c-9dfa-bffb5629858d,a3af1f05-e6bb-4a25-a7be-1f9115867304,New Gurgaon's 1st Mall with Five Star Hotel,🏨,0
39e153e2-0f04-42d2-8a57-bc9e63edcefb,049251cb-0089-4e71-8624-88c23074f082,Private Garden in Every Residence,🌱,0
3a6aedde-61db-4cb3-ae9e-809e72d83e32,d0e6ac5d-365e-4efb-87da-97f37581be3a,Vehicle-Free Central Greens,🌿,0
3ad33db0-a403-4696-b2a9-a1c811120b8d,0442a99c-6f74-4f69-b564-e0ed491e52ac,Open-air Boulevards & Piazzas,🚶‍♂️,2
3b0887d8-d148-4cd1-8fef-57784e7effbe,8eab2ac6-fbc3-450e-b4a9-16ae669df765,Indoor Heated Plunge Pool,🏊,0
3bf17000-3603-4dba-abb0-956ae3237ad6,d2afb735-8465-414a-924f-a7226ea3319a,IGBC Platinum Pre-Certified,🏆,0
3c4f2e19-ce2e-4dce-b349-61d27094a533,c9b9ee68-248e-48fb-ae77-1b082109a89c,IGBC Platinum Green Building,♻️,0
3c5be3b8-c0f3-4bd3-bd3b-5f371ba45252,ef4d244d-fb32-42d7-a4be-0f515c4ed2c8,5-Tier Security & Smart Access,🔒,0
3c839a45-91e8-4679-bdb7-26693ab666f0,c05bb44a-4d96-4c65-9703-923dd67a4b91,Prime Location,📍,0
3c94cc95-f615-4437-b8ea-606931297d7c,254b6fe9-2325-4bb5-a35d-b214cb88764d,Multi-tier Security,🔒,0
3dadd46c-a74d-4327-8320-c9390817ac43,3fed7102-bc0c-4fe5-a6b4-b30868757223,Smart Home Automation,🎛️,0
3df4a620-d7dd-4570-87f6-3a173ebe454e,3fed7102-bc0c-4fe5-a6b4-b30868757223,High-Speed Elevators,🏙️,0
3e4af8c8-e376-496c-941c-4a06e4ebf878,8b6a09f7-9696-4811-ad43-bad1dea5f324,VRV/VRF Air Conditioning,🌬️,0
