id,projectId,configurationId,unitNumber,type,floor,areaSqFt,frontageFt,ceilingHeightFt,fitOutStatus,nearAnchor,isCorner,visibilityScore,ventilationReady,priceTotal,ratePsf,leaseModel,lockInMonths,escalationPct,availability,notes
30b70396-d2f0-44ea-8d78-2d7028126169,06e0aa61-ef5c-4892-beec-a5a1df6ec52c,,2,APARTMENT,2BHK,1244 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
3166bbf3-de48-4932-b3e3-594d249021e1,049251cb-0089-4e71-8624-88c23074f082,,11,APARTMENT,4BHK +SQ,3532 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
32920f11-8722-4130-9f5e-4cbd7ba01249,b78f7b94-2629-4566-b8a8-a14b578d3434,,1,APARTMENT,3BHK,2200 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
32ed7804-2b08-4900-b36b-eac71acdfd03,f9b16292-de07-471d-9d9c-d9f92bd44692,,Unit Type-9,APARTMENT,3.5 BHK+Utility,2736 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
33d717ca-8a0c-484e-a691-81f35210b003,049251cb-0089-4e71-8624-88c23074f082,,5,APARTMENT,4BHK +SQ,4240 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
3495eaea-b2a7-485b-81e4-ffb4a941b160,ead71e2f-5982-4c58-b243-5e9cd88d9fe9,,2,APARTMENT,3 BHK,2750 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
34a821b3-c485-477c-8a44-c9b4c77eabae,d9401432-af8d-41fc-8230-594a70cc2a98,,R1 157,ANCHOR,FF,660.19,,,,false,false,,,,,,,,AVAILABLE,
36f17c77-ec51-4241-9a0b-989c42a5d39a,982ed68a-ba24-4226-b101-01e7f90de70a,,13,APARTMENT,SP6,352.50 Sq.Meter,,,,false,false,,,,,,,,AVAILABLE,
388d5a45-6131-4ba3-aeb6-d98155962ba6,8e7d9d67-660b-4099-b583-f39f14bf9a26,,1,APARTMENT,3 BHK,2780 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
3a437949-7981-4e72-a16e-0914ade10572,d9401432-af8d-41fc-8230-594a70cc2a98,,R1 LG 29,ANCHOR,LG,391.09,,,,false,false,,,,,,,,AVAILABLE,
3f4883a0-5126-40df-adbd-ae797b3782f5,3fed7102-bc0c-4fe5-a6b4-b30868757223,,8,APARTMENT,"4BHK ",2400 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
4162271d-b95d-4b04-b5e0-6ca69f811db3,a44c5240-3c6f-4c6a-96ee-8ac62af3511e,,4 BHK,APARTMENT,4th Floor,3475 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
4245835b-24f8-4ccf-8fcf-ffb598557bf0,c05bb44a-4d96-4c65-9703-923dd67a4b91,,3,APARTMENT,4 BHK Small,3257 Sq.ft,,,,false,false,,,,,,,,AVAILABLE,
44271c93-06b5-461d-ae2d-aa5f6f2794eb,d2afb735-8465-414a-924f-a7226ea3319a,,"3 BHK ",APARTMENT,T8 - Type 2,2100 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
